paper_key,l0,global_key
conf/aaai/BrandtF07,0,aaai
conf/aaai/BrandtFHM08,0,aaai
conf/aaai/BrandtFS06,1,aaai
conf/aaai/BranzeiCDFF014,1,aaai
conf/aaai/BranzeiCKP16,1,aaai
conf/aaai/BranzeiCMP13,0,aaai
conf/aaai/BrasBGSGSD14,1,aaai
conf/aaai/BrasDXGMSM13,1,aaai
conf/aaai/BrauDCSM16,0,aaai
conf/aaai/BrautbarKS10,1,aaai
conf/aaai/BraylanHMM15,1,aaai
conf/aaai/BraylanHMM16,1,aaai
conf/aaai/BrazAR06,1,aaai
conf/aaai/BrazGPRS05,1,aaai
conf/aaai/Braziunas14,0,aaai
conf/aaai/BraziunasB04,0,aaai
conf/aaai/BraziunasB06,0,aaai
conf/aaai/BraziunasEVWX14,1,aaai
conf/aaai/BreazealB08,0,aaai
conf/aaai/BredereckCFNN14,1,aaai
conf/aaai/BredereckCHNSK12,1,aaai
conf/aaai/BredereckFNT16,0,aaai
conf/aaai/BreimyerW08,1,aaai
conf/aaai/BrelsfordFHSS08,0,aaai
conf/aaai/BrennanWG10,0,aaai
conf/aaai/Brenner10,0,aaai
conf/aaai/Bresina15,0,aaai
conf/aaai/Brewka02,0,aaai
conf/aaai/BrewkaD0S15,0,aaai
conf/aaai/BrewkaE07,0,aaai
conf/aaai/BrewkaNT05,0,aaai
conf/aaai/BrewkaTW10,0,aaai
conf/aaai/BreyerK10,0,aaai
conf/aaai/BreyerK10a,0,aaai
conf/aaai/BridewellT10,0,aaai
conf/aaai/BrielNDK04,1,aaai
conf/aaai/BriggsFRB16,0,aaai
conf/aaai/BriggsO05,0,aaai
conf/aaai/BriggsS13,0,aaai
conf/aaai/BrillC15,0,aaai
conf/aaai/BrillF12,0,aaai
conf/aaai/BrillFC16,0,aaai
conf/aaai/BritoP02,0,aaai
conf/aaai/BroadbentJKSM11,1,aaai
conf/aaai/Broeck13,0,aaai
conf/aaai/BroeckD12,0,aaai
conf/aaai/BroeckD15,1,aaai
conf/aaai/BroeckKNP14,1,aaai
conf/aaai/BroeckMD13,0,aaai
conf/aaai/BroeckN15,0,aaai
conf/aaai/BroeckTOR10,0,aaai
conf/aaai/BrooksAEKMS06,1,aaai
conf/aaai/BrooksD00,0,aaai
conf/aaai/BrooksRGB15,0,aaai
conf/aaai/Brown16,0,aaai
conf/aaai/BrownGS15,0,aaai
conf/aaai/BrownGS15a,0,aaai
